no2,so2,o3,co,hour,day,month,day_of_week,is_weekend,pm25,pm10,aqi
17.351678317361113,7.389252116944445,3.9859079297916673,3.037205720208333,0,1,1,5,1,224.88846450000003,319.475639,274.71829815315317
8.76825516,4.251595835277778,38.11508906041668,2.2424744581944447,3,1,1,5,1,167.136452,237.2390738,217.48657405405405
1.6130659819166664,2.2242025000902776,108.1374236298611,0.6602361586527778,6,1,1,5,1,53.5503115,75.87092625,203.2511163761303
0.9862482748125,2.5288196441666657,118.91863267083336,0.6000120992152778,9,1,1,5,1,47.90924775,67.79787490000001,214.6057939831117
7.218107829722222,6.135102016944445,73.92127852083335,1.1106234738472225,12,1,1,5,1,115.1745,162.740074,181.81191253951528
17.817259950000004,10.57540699,22.883132504166667,1.9677440484722224,15,1,1,5,1,209.149787,295.7828038,259.1214105405405
24.133299448611112,16.56814463402778,5.666136101,2.6969425097222226,18,1,1,5,1,250.49548475000003,354.8831738,30.647073974116164
23.544933139583335,17.45253764,2.5933333640277767,3.149256524652778,21,1,1,5,1,254.27147375000004,360.89578000000006,304.00329442276916
16.423592439236113,9.107215432777778,2.153182925006944,3.1612744858333337,0,2,1,6,1,223.54367175,317.5575218,273.3856206531532
15.102998397083336,4.542919087777779,28.082281859722222,2.6438594418055565,3,2,1,6,1,185.9134235,263.85038575000004,236.09438364864863
1.0368196635027778,2.4837070006388893,109.91601065763888,0.7155220467500001,6,2,1,6,1,45.969346325,65.0572755,205.1243091
0.3108330549775693,2.8732511859722223,120.50374779236114,0.6633551049513889,9,2,1,6,1,42.12467158,59.56954745000001,216.27522373876332
8.191509493,6.805704900069445,64.45270356,1.2481330180763892,12,2,1,6,1,123.64997610000002,174.668095,186.18808038883037
18.416539151111113,10.975518214305556,20.045367788541665,2.1118168259027774,15,2,1,6,1,217.4345233,307.45736000000005,267.33150952702704
23.06793164861111,16.739160840694446,7.391267956527778,2.7879703575694452,18,2,1,6,1,253.95765325,359.7511645,303.7533933443377
22.36666656631944,17.303020517708333,7.153010696805556,3.168959159236111,21,2,1,6,1,254.00860100000008,360.4624363,303.7939639815927
23.72805829,10.301523595416668,6.054182654722222,3.253718396250001,0,3,1,0,0,243.60960050000003,345.97626,293.2707752702703
18.67804908,6.1757822524999995,20.422191008333336,3.2864078002777775,3,3,1,0,0,238.53517275000004,338.527868,288.24206308558564
2.768672085277777,3.3993078781666664,114.5087059326389,0.8195634051111113,6,3,1,0,0,66.92593705,94.71838425,209.9612966737367
1.5396672982638888,3.8658626630555553,127.51432540486115,0.8539002885000001,9,3,1,0,0,70.99690238,100.418542,223.658704415758
8.054421158680556,7.064939573611111,75.12089053194447,1.3861638215833332,12,3,1,0,0,143.0081048,202.05322725,196.18332068229716
18.73351508,11.130986465763888,23.457190438888897,2.2227136905555556,15,3,1,0,0,228.580198,323.21584574999997,278.37677279279285
25.120887506944456,16.671691995486114,8.129774131111112,2.8200816092361114,18,3,1,0,0,256.5776343,363.4578062500001,305.8397327561025
23.003833421527776,17.524965776111117,6.28243357,3.2015984879861117,21,3,1,0,0,257.68409099999997,365.668135,306.72082476590634
23.012307120833334,7.834949059583334,2.4393102620833327,3.293396694097223,0,4,1,1,0,236.39240275000003,335.71110300000004,286.11859731981986
16.66458488576389,4.462253208680556,19.506256364583336,3.0822598182638887,3,4,1,1,0,220.59090725,313.01645900000005,270.45945763513515
2.687812066479167,2.4653687751388893,108.19457127500002,0.9052451062569444,6,4,1,1,0,69.10824025,97.81330388,203.3113037896277
1.6237120598125,4.010455983819445,129.69022920486117,1.0129115560763888,9,4,1,1,0,90.5166514,128.03845162500002,225.95034777958784
9.667401705694443,7.515181249236111,64.18169854930555,1.7438050345138891,12,4,1,1,0,183.36718750000003,259.0470873,233.57108671171173
20.027566667013893,11.828966288611111,14.768378002777782,2.7188058401388893,15,4,1,1,0,264.44595625000005,373.83227,312.1054233443378
23.86368286944445,18.19433211701389,6.495825014097224,3.4003219181944444,18,4,1,1,0,286.2977758,405.428058,329.50643206982795
26.553322303472225,17.778242628125003,5.163108964027779,3.6216819396527775,21,4,1,1,0,275.7392313,391.2040563,321.0984674619848
20.683924610416668,8.083195929,3.802440601944444,3.4506254236805556,0,5,1,2,0,241.75661650000004,343.310562,291.4344848198199
12.57425113,5.760434021319445,16.723787621527777,3.472426044305556,3,5,1,2,0,238.0255483,337.8186175000001,287.7370297972973
1.6504646442569442,2.421015458750001,111.32256692083334,1.00462197,6,5,1,2,0,66.39141442500001,93.987004125,206.60568218257976
1.162939725111111,3.0225386590972225,125.9607054416667,1.076323526,9,5,1,2,0,78.038576,110.4144391,222.0224450928192
8.041467604,6.798917562986111,68.12862561458336,1.6038752836458334,12,5,1,2,0,150.04853500000004,212.068815,199.81852702845103
19.34594296,11.642142964375005,20.67829559930556,2.587180076736111,15,5,1,2,0,245.732942,347.4985675,295.3749875675676
25.346320377777776,18.618528723958335,6.864602811597223,3.4025616775694454,18,5,1,2,0,282.61289,400.2620493,326.57208927571025
25.542538802083342,20.174445157222223,4.824153369583333,4.010352028958334,21,5,1,2,0,290.6095675,412.2857795000001,332.9399917266907
30.78155493194446,10.021504438750002,7.877180672569445,3.610486416,0,6,1,3,0,259.6474353,368.359705,308.28427216786713
19.602671109097223,6.067206817291668,21.792082443055556,3.90433047375,3,6,1,3,0,269.06706049999997,381.642968,315.78529427571027
2.730745636111111,3.330760095833334,117.6978458541667,1.506571485513889,6,6,1,3,0,123.6737999,175.32040750000002,213.32007169747345
1.724983062979167,3.548313191597222,132.29072559305558,1.553500371548611,9,6,1,3,0,121.90316775,172.66542825000002,228.68916844375
6.5457288020833335,6.480015082430557,97.82966456666668,2.060401700972222,12,6,1,3,0,176.86200875000003,249.8365328,227.1245131756757
15.74144245,11.182249357222222,44.17352899166668,2.870234664305556,15,6,1,3,0,247.337055,349.57228425000005,296.9646490990991
